Filename	IOU	F1	Score
0161.png	0.5685	0.7249	64.67
0317.png	0.3820	0.5528	46.74
0565.png	0.0936	0.1712	13.24
0699.png	0.7090	0.8298	76.94
0802.png	0.4924	0.6599	57.62
0943.png	0.5270	0.6903	60.86
1560.png	0.0000	0.0000	0.00
1575.png	0.0000	0.0000	0.00
1588.png	0.0000	0.0000	0.00
2705.png	0.3998	0.5713	48.55
3186.png	0.1168	0.2092	16.30
3304.png	0.4835	0.6518	56.76
3576.png	0.4215	0.5930	50.72
3811.png	0.8533	0.9208	88.71
3950.png	0.3980	0.5694	48.37
4005.png	0.7347	0.8471	79.09
4151.png	0.7850	0.8795	83.22
4273.png	0.7001	0.8236	76.19
4414.png	0.6982	0.8222	76.02
4555.png	0.5736	0.7290	65.13
4648.png	0.4198	0.5913	50.55
4677.png	0.6137	0.7606	68.72
4696.png	0.6853	0.8133	74.93
4973.png	0.0000	0.0000	0.00
5263.png	0.7863	0.8804	83.33
5726.png	0.7853	0.8797	83.25
5976.png	0.6236	0.7682	69.59
6013.png	0.7804	0.8767	82.86
6199.png	0.7787	0.8756	82.72
6284.png	0.8877	0.9405	91.41
6417.png	0.6892	0.8160	75.26
6543.png	0.6026	0.7520	67.73
6556.png	0.5190	0.6833	60.11
6588.png	0.6376	0.7787	70.81
6668.png	0.7770	0.8745	82.58
7546.png	0.3684	0.5384	45.34
0189.png	0.3759	0.5464	46.12
0260.png	0.5992	0.7494	67.43
0281.png	0.4999	0.6666	58.33
0294.png	0.5493	0.7091	62.92
0412.png	0.4869	0.6549	57.09
0477.png	0.7790	0.8758	82.74
0536.png	0.1639	0.2816	22.28
0553.png	0.2729	0.4287	35.08
0690.png	0.2908	0.4505	37.06
1152.png	0.0000	0.0000	0.00
1556.png	0.0000	0.0000	0.00
2672.png	0.8724	0.9318	90.21
2693.png	0.6674	0.8005	73.40
2719.png	0.4806	0.6492	56.49
2899.png	0.5355	0.6975	61.65
2913.png	0.6040	0.7531	67.86
3005.png	0.8632	0.9266	89.49
3266.png	0.1402	0.2459	19.31
3471.png	0.6046	0.7536	67.91
3959.png	0.6591	0.7945	72.68
3973.png	0.5484	0.7083	62.84
4056.png	0.3289	0.4950	41.20
4167.png	0.6566	0.7927	72.47
4193.png	0.8442	0.9155	87.98
4408.png	0.5947	0.7458	67.03
4576.png	0.4840	0.6523	56.81
4582.png	0.8505	0.9192	88.48
5871.png	0.6096	0.7575	68.35
6307.png	0.3591	0.5284	44.37
6362.png	0.8229	0.9028	86.29
6434.png	0.4645	0.6344	54.94
6575.png	0.0000	0.0000	0.00
6657.png	0.7674	0.8684	81.79
6689.png	0.4818	0.6503	56.61
7035.png	0.8527	0.9205	88.66
0462.png	0.6687	0.8015	73.51
0496.png	0.5604	0.7183	63.93
0523.png	0.6973	0.8216	75.94
0776.png	0.5634	0.7208	64.21
0797.png	0.7416	0.8516	79.66
0851.png	0.4108	0.5824	49.66
1049.png	0.6301	0.7731	70.16
1082.png	0.0000	0.0000	0.00
1472.png	0.0000	0.0000	0.00
1526.png	0.0000	0.0000	0.00
1604.png	0.0000	0.0000	0.00
2769.png	0.6013	0.7510	67.62
2939.png	0.1187	0.2122	16.54
3056.png	0.8406	0.9134	87.70
3060.png	0.8474	0.9174	88.24
3088.png	0.5822	0.7359	65.91
3357.png	0.5647	0.7218	64.33
3368.png	0.6329	0.7752	70.41
3374.png	0.0088	0.0174	1.31
3452.png	0.6304	0.7733	70.19
3746.png	0.8303	0.9073	86.88
3903.png	0.5204	0.6846	60.25
4060.png	0.3731	0.5435	45.83
4216.png	0.8607	0.9252	89.29
4220.png	0.2124	0.3504	28.14
4235.png	0.6948	0.8199	75.73
4374.png	0.4467	0.6175	53.21
4478.png	0.8718	0.9315	90.17
4490.png	0.5885	0.7409	66.47
4624.png	0.7920	0.8839	83.80
4861.png	0.4944	0.6617	57.80
4889.png	0.6174	0.7635	69.04
5084.png	0.8920	0.9429	91.74
5098.png	0.6328	0.7751	70.40
5138.png	0.3217	0.4868	40.42
5206.png	0.6082	0.7564	68.23
5225.png	0.7927	0.8844	83.85
5503.png	0.5612	0.7189	64.01
5628.png	0.5257	0.6891	60.74
5885.png	0.3564	0.5255	44.09
5899.png	0.6095	0.7574	68.35
5925.png	0.0156	0.0308	2.32
6040.png	0.5830	0.7366	65.98
6122.png	0.5563	0.7149	63.56
6209.png	0.8555	0.9221	88.88
6341.png	0.5652	0.7222	64.37
6451.png	0.4194	0.5909	50.52
6458.png	0.5483	0.7083	62.83
6604.png	0.6925	0.8183	75.54
6632.png	0.4855	0.6537	56.96
6792.png	0.1371	0.2412	18.91
6854.png	0.7963	0.8866	84.14
6883.png	0.0000	0.0000	0.00
7523.png	0.6445	0.7838	71.42
0623.png	0.2227	0.3642	29.35
0762.png	0.0000	0.0000	0.00
0763.png	0.4365	0.6078	52.21
0932.png	0.4258	0.5973	51.16
0933.png	0.7895	0.8823	83.59
1451.png	0.0000	0.0000	0.00
1505.png	0.0000	0.0000	0.00
1511.png	0.0000	0.0000	0.00
1618.png	0.0000	0.0000	0.00
1772.png	0.0000	0.0000	0.00
1786.png	0.0000	0.0000	0.00
1793.png	0.0000	0.0000	0.00
1849.png	0.0000	0.0000	0.00
2890.png	0.7666	0.8679	81.72
3375.png	0.2542	0.4054	32.98
3538.png	0.5368	0.6986	61.77
3624.png	0.8543	0.9215	88.79
3764.png	0.8679	0.9293	89.86
3785.png	0.8082	0.8939	85.10
3861.png	0.4556	0.6260	54.08
3920.png	0.6502	0.7880	71.91
3935.png	0.4567	0.6271	54.19
4094.png	0.7032	0.8258	76.45
4120.png	0.4744	0.6435	55.90
4342.png	0.0000	0.0000	0.00
4343.png	0.3428	0.5106	42.67
4388.png	0.8659	0.9281	89.70
4389.png	0.5350	0.6971	61.61
4856.png	0.0000	0.0000	0.00
4857.png	0.7207	0.8377	77.92
5071.png	0.6809	0.8101	74.55
5125.png	0.7322	0.8454	78.88
5239.png	0.4848	0.6530	56.89
5846.png	0.1475	0.2571	20.23
5878.png	0.5088	0.6745	59.17
6123.png	0.6875	0.8148	75.12
6137.png	0.6291	0.7723	70.07
6467.png	0.8878	0.9406	91.42
6472.png	0.7013	0.8245	76.29
